model,kind,reference,task,information_set,sharing,metric,estimate,ci_low,ci_high,samples,clusters
choice_inertia,metric,,bandit,observable,task_specific,r_squared,0.7526763465996478,0.6945584954301668,0.8003252998701567,2000,78
choice_inertia,metric,,bandit,observable,task_specific,mse,0.566449670260185,0.47973833097563706,0.6644935587621247,2000,78
choice_inertia,metric,,bandit,observable,task_specific,log_loss,0.445922809699297,0.34705105642364936,0.5760552259592793,2000,78
choice_inertia,metric,,bandit,observable,task_specific,brier,0.13674842995762232,0.10926683208010747,0.16886480806011914,2000,78
choice_inertia,metric,,foraging,observable,task_specific,r_squared,0.6657355238040028,0.5905792134080577,0.7286998188507173,2000,59
choice_inertia,metric,,foraging,observable,task_specific,mse,0.5077439999522281,0.4345105740257218,0.5900366820528266,2000,59
choice_inertia,metric,,foraging,observable,task_specific,log_loss,0.6462493082959277,0.5319502742263897,0.7709616812122156,2000,59
choice_inertia,metric,,foraging,observable,task_specific,brier,0.22221526827348373,0.17798905467776255,0.2686780437753749,2000,59
choice_inertia,metric,,solvability,observable,task_specific,r_squared,0.6620348277517769,0.6176990423203255,0.702172217423123,2000,59
choice_inertia,metric,,solvability,observable,task_specific,mse,2.2764161716090587,1.7033642989298958,2.8822798982958817,2000,59
choice_inertia,metric,,solvability,observable,task_specific,log_loss,0.5780666079198139,0.5313874758965438,0.6252139646304883,2000,59
choice_inertia,metric,,solvability,observable,task_specific,brier,0.19328591560363617,0.17875910468754536,0.2075235713803148,2000,59
choice_inertia,metric,,macro,observable,task_specific,r_squared,0.6934822327184759,0.6596890699780095,0.7236086789605751,2000,196
choice_inertia,metric,,macro,observable,task_specific,mse,1.116869947273824,0.9211802999494799,1.3223491148019706,2000,196
choice_inertia,metric,,macro,observable,task_specific,log_loss,0.5567462419716797,0.502962272788611,0.6152695270533335,2000,196
choice_inertia,metric,,macro,observable,task_specific,brier,0.1840832046115807,0.166049390247681,0.2029995661224271,2000,196
finite_history,metric,,bandit,observable,task_specific,r_squared,0.780888018893239,0.7327980968073019,0.8227340669535991,2000,78
finite_history,metric,,bandit,observable,task_specific,mse,0.503258457992029,0.42686143918714553,0.5792710785452436,2000,78
finite_history,metric,,bandit,observable,task_specific,log_loss,0.4510867537240747,0.34936329082345235,0.5880243042632173,2000,78
finite_history,metric,,bandit,observable,task_specific,brier,0.13784731240298906,0.10996164113834911,0.17051007153135608,2000,78
finite_history,metric,,foraging,observable,task_specific,r_squared,0.6661443946124003,0.585454942440995,0.7274794257849081,2000,59
finite_history,metric,,foraging,observable,task_specific,mse,0.5073363291544066,0.43235673446625617,0.5877089610889049,2000,59
finite_history,metric,,foraging,observable,task_specific,log_loss,0.6469440052067593,0.531584375291688,0.785146822041355,2000,59
finite_history,metric,,foraging,observable,task_specific,brier,0.22248391721039676,0.17840053634993333,0.2753092375567313,2000,59
finite_history,metric,,solvability,observable,task_specific,r_squared,0.6552932679548377,0.6095174921409336,0.6963253638453604,2000,59
finite_history,metric,,solvability,observable,task_specific,mse,2.317785279693986,1.7755632246742152,2.921788347127816,2000,59
finite_history,metric,,solvability,observable,task_specific,log_loss,0.5756554959132425,0.5276931849829792,0.6248964032545022,2000,59
finite_history,metric,,solvability,observable,task_specific,brier,0.19344756243328276,0.17824188966919002,0.2081973236487317,2000,59
finite_history,metric,,macro,observable,task_specific,r_squared,0.7007752271534923,0.666554376910611,0.7308843731478795,2000,196
finite_history,metric,,macro,observable,task_specific,mse,1.1094600222801405,0.9236525953624276,1.3129840854444583,2000,196
finite_history,metric,,macro,observable,task_specific,log_loss,0.5578954182813588,0.5021027941066999,0.6203487805877929,2000,196
finite_history,metric,,macro,observable,task_specific,brier,0.18459293068222285,0.1659770899129476,0.20522281775228216,2000,196
rescorla_wagner,metric,,bandit,observable,task_specific,r_squared,0.2757996175648096,0.17955651530645575,0.3580394001463987,2000,78
rescorla_wagner,metric,,bandit,observable,task_specific,mse,1.670014217539052,1.452699251342496,1.906109647822878,2000,78
rescorla_wagner,metric,,bandit,observable,task_specific,log_loss,0.5522242562076455,0.4530510359093147,0.6557211570536822,2000,78
rescorla_wagner,metric,,bandit,observable,task_specific,brier,0.15763350170525894,0.12821744228166645,0.18933554880365064,2000,78
rescorla_wagner,metric,,macro,observable,task_specific,r_squared,0.2757996175648096,0.17955651530645575,0.3580394001463987,2000,78
rescorla_wagner,metric,,macro,observable,task_specific,mse,1.670014217539052,1.452699251342496,1.906109647822878,2000,78
rescorla_wagner,metric,,macro,observable,task_specific,log_loss,0.5522242562076455,0.4530510359093147,0.6557211570536822,2000,78
rescorla_wagner,metric,,macro,observable,task_specific,brier,0.15763350170525894,0.12821744228166645,0.18933554880365064,2000,78
