model,reference,information_set,sharing,delta_mse_reference_minus_model,delta_r_squared_model_minus_reference,delta_log_loss_reference_minus_model
rescorla_wagner,choice_inertia,oracle,shared_architecture_task_observation,-0.5526797781949389,-0.41527124054465525,0.004105406658253208
rescorla_wagner,gru,oracle,shared_architecture_task_observation,-0.46728865407706044,-0.43527438362860926,-0.012290019827666643
bayesian,time,oracle,shared_architecture_task_observation,0.8093103779012105,-0.13842890815699388,0.06574351132180223
bayesian,choice_inertia,oracle,shared_architecture_task_observation,-0.5411363871185113,-0.410297823891405,0.0008217080109806929
bayesian,gru,oracle,shared_architecture_task_observation,-0.4557452630006329,-0.430300966975359,-0.015573718474939158
value_history_hybrid,time,oracle,shared_architecture_task_observation,1.428159088256209,0.1281991963180446,0.12838264435562546
value_history_hybrid,choice_inertia,oracle,shared_architecture_task_observation,0.07771232323648714,-0.14366971941636653,0.06346084104480393
value_history_hybrid,gru,oracle,shared_architecture_task_observation,0.16310344735436555,-0.16367286250032054,0.04706541455888408
termination_advantage,time,oracle,shared_architecture_task_observation,-0.8972478904571153,-0.3450512175967821,-0.08337329962108653
termination_advantage,choice_inertia,oracle,shared_architecture_task_observation,-2.2476946554768373,-0.6169201333311932,-0.14829510293190806
termination_advantage,gru,oracle,shared_architecture_task_observation,-2.1623035313589587,-0.6369232764151472,-0.1646905294178279
sticky_termination,time,oracle,shared_architecture_task_observation,-0.23979221729517608,-0.09323867234822414,-0.0286003096650026
sticky_termination,choice_inertia,oracle,shared_architecture_task_observation,-1.590238982314898,-0.36510758808263527,-0.09352211297582413
sticky_termination,gru,oracle,shared_architecture_task_observation,-1.5048478581970195,-0.3851107311665893,-0.10991753946174398
decomposed_meta_control,time,oracle,shared_architecture_task_observation,1.0637534999790481,0.12931820627275842,0.045624112637407066
decomposed_meta_control,choice_inertia,oracle,shared_architecture_task_observation,-0.2866932650406737,-0.1425507094616527,-0.01929769067341447
decomposed_meta_control,gru,oracle,shared_architecture_task_observation,-0.2013021409227953,-0.16255385254560673,-0.03569311715933432
mvt_like_foraging_threshold,time,oracle,shared_architecture_task_observation,2.03012624464375,0.29141555833957405,-0.021726607584644952
mvt_like_foraging_threshold,choice_inertia,oracle,shared_architecture_task_observation,0.6796794796240282,0.019546642605162923,-0.08664841089546649
mvt_like_foraging_threshold,gru,oracle,shared_architecture_task_observation,0.7650706037419066,-0.0004565004787910887,-0.10304383738138634
disengagement_accumulator,time,oracle,shared_architecture_task_observation,-0.8972478904571153,-0.3450512175967821,-0.08337329962108653
disengagement_accumulator,choice_inertia,oracle,shared_architecture_task_observation,-2.2476946554768373,-0.6169201333311932,-0.14829510293190806
disengagement_accumulator,gru,oracle,shared_architecture_task_observation,-2.1623035313589587,-0.6369232764151472,-0.1646905294178279
latent_commitment,time,oracle,shared_architecture_task_observation,-0.46081536365825926,-0.2478999348840381,-0.039502734855717314
latent_commitment,choice_inertia,oracle,shared_architecture_task_observation,-1.811262128677981,-0.5197688506184492,-0.10442453816653885
latent_commitment,gru,oracle,shared_architecture_task_observation,-1.7258710045601027,-0.5397719937024033,-0.1208199646524587
generic_latent_value,time,oracle,shared_architecture_task_observation,-0.8972478904571153,-0.3450512175967821,-0.08337329962108653
generic_latent_value,choice_inertia,oracle,shared_architecture_task_observation,-2.2476946554768373,-0.6169201333311932,-0.14829510293190806
generic_latent_value,gru,oracle,shared_architecture_task_observation,-2.1623035313589587,-0.6369232764151472,-0.1646905294178279
flexible_linear,time,oracle,shared_architecture_task_observation,1.88925778275676,0.39109571943546256,0.10357724689720471
flexible_linear,choice_inertia,oracle,shared_architecture_task_observation,0.5388110177370381,0.11922680370105143,0.038655443586383176
flexible_linear,gru,oracle,shared_architecture_task_observation,0.6242021418549165,0.09922366061709742,0.022260017100463325
oracle_policy,time,oracle,shared_architecture_task_observation,2.4645333671366205,0.5747162607974328,0.15113523826253056
oracle_policy,choice_inertia,oracle,shared_architecture_task_observation,1.1140866021168987,0.3028473450630217,0.08621343495170902
oracle_policy,gru,oracle,shared_architecture_task_observation,1.199477726234777,0.2828442019790677,0.06981800846578917
mlp,time,oracle,shared_architecture_task_observation,1.2087394595830054,0.2667494767108169,0.07367180155515496
mlp,choice_inertia,oracle,shared_architecture_task_observation,-0.1417073054367164,-0.005119439023594241,0.008749998244333423
mlp,gru,oracle,shared_architecture_task_observation,-0.05631618131883798,-0.025122582107548252,-0.007645428241586427
gru,time,oracle,shared_architecture_task_observation,1.2650556409018434,0.29187205881836514,0.08131722979674139
gru,choice_inertia,oracle,shared_architecture_task_observation,-0.08539112411787841,0.02000314308395401,0.01639542648591985
intercept,time,oracle,task_specific,-1.0840832155080204,-0.42712042503389325,-0.08344129451143845
intercept,choice_inertia,oracle,task_specific,-2.434529980527742,-0.6989893407683043,-0.14836309782225998
time,choice_inertia,oracle,task_specific,-1.3504467650197218,-0.27186891573441113,-0.06492180331082154
previous_outcome,time,oracle,task_specific,0.6271129111238365,0.03742559615624863,-8.915596763070521e-05
previous_outcome,choice_inertia,oracle,task_specific,-0.7233338538958853,-0.2344433195781625,-0.06501095927845224
streak,time,oracle,task_specific,0.3771328729613588,0.03557534730734552,-0.0014531666850715608
streak,choice_inertia,oracle,task_specific,-0.973313892058363,-0.23629356842706561,-0.0663749699958931
choice_inertia,time,oracle,task_specific,1.3504467650197218,0.27186891573441113,0.06492180331082154
finite_history,time,oracle,task_specific,1.3568790245630746,0.27861622697017946,0.06439607653246537
finite_history,choice_inertia,oracle,task_specific,0.006432259543352803,0.006747311235768327,-0.0005257267783561614
rescorla_wagner,time,oracle,task_specific,0.797766986824783,-0.14340232481024412,0.06902720996907474
rescorla_wagner,choice_inertia,oracle,task_specific,-0.5526797781949389,-0.41527124054465525,0.004105406658253208
bayesian,time,oracle,task_specific,0.8093103779012105,-0.13842890815699388,0.06574351132180223
bayesian,choice_inertia,oracle,task_specific,-0.5411363871185113,-0.410297823891405,0.0008217080109806929
value_history_hybrid,time,oracle,task_specific,1.428159088256209,0.1281991963180446,0.12838264435562546
value_history_hybrid,choice_inertia,oracle,task_specific,0.07771232323648714,-0.14366971941636653,0.06346084104480393
termination_advantage,time,oracle,task_specific,-0.8972478904571153,-0.3450512175967821,-0.08337329962108653
termination_advantage,choice_inertia,oracle,task_specific,-2.2476946554768373,-0.6169201333311932,-0.14829510293190806
sticky_termination,time,oracle,task_specific,-0.23131731831144542,-0.08382985351294303,-0.0240473239584178
sticky_termination,choice_inertia,oracle,task_specific,-1.5817640833311672,-0.35569876924735416,-0.08896912726923933
decomposed_meta_control,time,oracle,task_specific,1.0637534999790481,0.12931820627275842,0.045624112637407066
decomposed_meta_control,choice_inertia,oracle,task_specific,-0.2866932650406737,-0.1425507094616527,-0.01929769067341447
mvt_like_foraging_threshold,time,oracle,task_specific,2.03012624464375,0.29141555833957405,-0.021726607584644952
mvt_like_foraging_threshold,choice_inertia,oracle,task_specific,0.6796794796240282,0.019546642605162923,-0.08664841089546649
disengagement_accumulator,time,oracle,task_specific,-0.7901332664126901,-0.29890137726805527,-0.07570724128918271
disengagement_accumulator,choice_inertia,oracle,task_specific,-2.140580031432412,-0.5707702930024664,-0.14062904460000425
latent_commitment,time,oracle,task_specific,-0.4139159330343074,-0.22769353212519636,-0.039761150083862384
latent_commitment,choice_inertia,oracle,task_specific,-1.7643626980540292,-0.49956244785960746,-0.10468295339468392
generic_latent_value,time,oracle,task_specific,-0.7901332664126901,-0.29890137726805527,-0.07570724128918271
generic_latent_value,choice_inertia,oracle,task_specific,-2.140580031432412,-0.5707702930024664,-0.14062904460000425
flexible_linear,time,oracle,task_specific,1.88925778275676,0.39109571943546256,0.10357724689720471
flexible_linear,choice_inertia,oracle,task_specific,0.5388110177370381,0.11922680370105143,0.038655443586383176
oracle_policy,time,oracle,task_specific,2.4645333671366205,0.5747162607974328,0.15113523826253056
oracle_policy,choice_inertia,oracle,task_specific,1.1140866021168987,0.3028473450630217,0.08621343495170902
