stage,target,random_subspace,random_r_squared,random_mse,random_pearson_r,persistence_rank4_r_squared,random_meets_or_exceeds_persistence,random_r_squared_mean,random_r_squared_95th,persistence_percentile_among_random,empirical_p_value
l21,time_effort,8,-0.09157101340219098,0.48656802888553147,0.3188162500123395,0.11366734714890044,False,0.3537426177154401,0.7112576723701379,0.19,0.8118811881188119
l21,cost_pressure,8,0.0646040462117297,0.16290751562029543,0.2270604206249525,0.026309759574074627,True,-0.013099575178512514,0.04531092852285616,0.87,0.13861386138613863
l21,progress_solvability,8,0.2086670038026581,0.19140610372327393,0.5434093360349544,0.052022799370691396,True,0.19324335809244794,0.3522906701086371,0.08,0.9207920792079208
l21,estimated_continue_value,8,-0.27484658763297865,0.48083348841994794,0.43083135023508023,-0.47305469386488525,True,-0.6214256318828069,-0.21066241594305737,0.7,0.3069306930693069
l21,estimated_outside_value,8,0.05744148639082051,0.6552640639248014,0.2411294203976989,0.004548456915627923,True,-0.03572498711704658,0.04464938365785712,0.77,0.2376237623762376
l21,termination_advantage,8,-0.19979875667468727,1.044117808678869,0.35878624927511477,-0.13057366916992627,False,-0.37197551860458683,-0.041789477592792605,0.81,0.19801980198019803
l21,history_finite_prediction,9,0.47265764783412173,1.288269519316692,0.6897732395240667,0.26640694883284266,True,-0.07859338581695621,0.44770878722747176,0.79,0.21782178217821782
l21,history_summary,9,0.4931503991891975,0.21486637956820756,0.7014077522380656,0.2120931504072684,True,0.41499064931620483,0.6061581246477328,0.1,0.900990099009901
l21,history_recent_outcomes,9,0.12880686660902266,3.557544093154947,0.4259179435114037,0.011912039646849023,True,-0.04311780601354851,0.15533662796266962,0.61,0.39603960396039606
l21,history_recent_choices,9,0.7733591547614878,0.10694773049756419,0.8927815184358593,0.4234693514441359,True,0.5703162883809162,0.8747847827073638,0.23,0.7722772277227723
l21,time_effort,9,0.5813462939688842,0.16484425621599244,0.8072321346857838,0.11366734714890044,True,0.3537426177154401,0.7112576723701379,0.19,0.8118811881188119
l21,cost_pressure,9,-0.007143153692691695,0.17266380505116777,0.09479210336680373,0.026309759574074627,False,-0.013099575178512514,0.04531092852285616,0.87,0.13861386138613863
l21,progress_solvability,9,0.11864598252133807,0.22120395764504427,0.3602994475704442,0.052022799370691396,True,0.19324335809244794,0.3522906701086371,0.08,0.9207920792079208
l21,estimated_continue_value,9,-0.7619224133625077,0.7165258692161661,0.3164886891351179,-0.47305469386488525,False,-0.6214256318828069,-0.21066241594305737,0.7,0.3069306930693069
l21,estimated_outside_value,9,-0.035380031883763007,0.7223216686898905,0.149707785704818,0.004548456915627923,False,-0.03572498711704658,0.04464938365785712,0.77,0.2376237623762376
l21,termination_advantage,9,-0.03617245694699622,1.1777745491732048,0.3773347354427154,-0.13057366916992627,True,-0.37197551860458683,-0.041789477592792605,0.81,0.19801980198019803
l21,history_finite_prediction,10,-0.1931638290944616,2.4660253893201216,0.4324177748401583,0.26640694883284266,False,-0.07859338581695621,0.44770878722747176,0.79,0.21782178217821782
l21,history_summary,10,0.3998676241613905,0.24369224995308633,0.6741483209776366,0.2120931504072684,True,0.41499064931620483,0.6061581246477328,0.1,0.900990099009901
l21,history_recent_outcomes,10,-0.02810627342052326,3.6932436632313785,0.3946435387735851,0.011912039646849023,False,-0.04311780601354851,0.15533662796266962,0.61,0.39603960396039606
l21,history_recent_choices,10,0.7958593636020601,0.09616925568800626,0.9155453856400376,0.4234693514441359,True,0.5703162883809162,0.8747847827073638,0.23,0.7722772277227723
l21,time_effort,10,0.3979251498833379,0.21247238152448392,0.8352437483306513,0.11366734714890044,True,0.3537426177154401,0.7112576723701379,0.19,0.8118811881188119
l21,cost_pressure,10,-0.005866223697838254,0.17457301791071492,0.147348132241307,0.026309759574074627,False,-0.013099575178512514,0.04531092852285616,0.87,0.13861386138613863
l21,progress_solvability,10,0.1182508998570075,0.22316953618131663,0.49437722260600525,0.052022799370691396,True,0.19324335809244794,0.3522906701086371,0.08,0.9207920792079208
l21,estimated_continue_value,10,-0.04332950085068873,0.40481864332724854,0.3710710173113318,-0.47305469386488525,True,-0.6214256318828069,-0.21066241594305737,0.7,0.3069306930693069
l21,estimated_outside_value,10,-0.011148027641546357,0.7103106205068558,0.15424131981332936,0.004548456915627923,False,-0.03572498711704658,0.04464938365785712,0.77,0.2376237623762376
l21,termination_advantage,10,-0.04183640149984499,1.0778111979001022,0.4286853033130296,-0.13057366916992627,True,-0.37197551860458683,-0.041789477592792605,0.81,0.19801980198019803
l21,history_finite_prediction,11,0.1920600067013151,2.0332013491553482,0.535871661881285,0.26640694883284266,False,-0.07859338581695621,0.44770878722747176,0.79,0.21782178217821782
l21,history_summary,11,0.34068492211474616,0.2725575209471533,0.6261706625716975,0.2120931504072684,True,0.41499064931620483,0.6061581246477328,0.1,0.900990099009901
l21,history_recent_outcomes,11,0.08601493095959267,3.8550065388418187,0.2523534802968988,0.011912039646849023,True,-0.04311780601354851,0.15533662796266962,0.61,0.39603960396039606
