key,feature_type,layer,rank,persistence_sensitivity,persistence_positive_fraction,cross_manipulation_transfer,cross_task_transfer,random_95th,classification,nuisance_arbitrary_choice,nuisance_generic_value,nuisance_label,nuisance_terminality
static-L24-k1,static,24,1,0.4253871440887451,0.9932381510734558,0.08111968077719212,0.028807840620477993,0.0009335214272141457,no_persistence_specific_candidate,0.014754069969058037,0.045447614043951035,0.02239910140633583,0.03225773200392723
static-L24-k2,static,24,2,0.6335133910179138,0.9932381510734558,0.2623496502637863,0.13423814872900644,0.001932573039084673,no_persistence_specific_candidate,0.03427087515592575,0.07429207861423492,0.04676714166998863,0.09627843648195267
static-L24-k4,static,24,4,0.7509211897850037,0.9932381510734558,0.34557983875274656,0.19744683802127838,0.0025645431596785784,no_persistence_specific_candidate,0.1646808385848999,0.29065603017807007,0.2370290458202362,0.3110083341598511
static-L25-k1,static,25,1,0.43206360936164856,0.9939894676208496,0.08343632481992244,0.028056488061944645,0.0009891592198982835,no_persistence_specific_candidate,0.014583933167159557,0.040214136242866516,0.023171670734882355,0.030435409396886826
static-L25-k2,static,25,2,0.6375762820243835,0.9932381510734558,0.258660563826561,0.13064967344204584,0.001500021549873054,no_persistence_specific_candidate,0.03620819374918938,0.06946802139282227,0.048250116407871246,0.10311286896467209
static-L25-k4,static,25,4,0.7531377077102661,0.9932381510734558,0.3151886463165283,0.19602436820665994,0.00302316271699965,no_persistence_specific_candidate,0.21922184526920319,0.34343069791793823,0.26529940962791443,0.35489991307258606
static-L26-k1,static,26,1,0.44903531670570374,0.996243417263031,0.09168826155364514,0.029398783730963867,0.0011866881977766752,no_persistence_specific_candidate,0.020760400220751762,0.03912597894668579,0.022940272465348244,0.03278975561261177
static-L26-k2,static,26,2,0.6313764452934265,0.9939894676208496,0.28760990500450134,0.14038356393575668,0.0021323654800653458,no_persistence_specific_candidate,0.04947657883167267,0.07639513909816742,0.060315296053886414,0.1180366799235344
static-L26-k4,static,26,4,0.7622637748718262,0.9932381510734558,0.3254409730434418,0.20211088160673776,0.0032728498335927725,no_persistence_specific_candidate,0.2366088628768921,0.3739249110221863,0.2814658284187317,0.3836650252342224
static-L27-k1,static,27,1,0.44234034419059753,0.9932381510734558,0.087910882756114,0.022790771909058094,0.001473030773922801,no_persistence_specific_candidate,0.0021452289074659348,0.02299860492348671,0.015453124418854713,0.016143539920449257
static-L27-k2,static,27,2,0.6462945342063904,0.992486834526062,0.2714144319295883,0.11788549150029819,0.001979969209060073,no_persistence_specific_candidate,0.027875477448105812,0.08451136946678162,0.05767384544014931,0.14094823598861694
static-L27-k4,static,27,4,0.756217896938324,0.992486834526062,0.3407767921686172,0.1752397914727529,0.002793162362650037,no_persistence_specific_candidate,0.1777496337890625,0.39642438292503357,0.27144545316696167,0.3719002902507782
static-L28-k1,static,28,1,0.44701844453811646,0.9939894676208496,0.08625623397529125,0.02036608972897132,0.0009319732198491693,no_persistence_specific_candidate,0.001891349907964468,0.01637152023613453,0.013081267476081848,0.008781608194112778
static-L28-k2,static,28,2,0.6345275044441223,0.992486834526062,0.25737515091896057,0.10715480024615924,0.0020905830897390842,no_persistence_specific_candidate,0.05911187455058098,0.12027480453252792,0.07913646847009659,0.18680188059806824
static-L28-k4,static,28,4,0.755603015422821,0.9932381510734558,0.3182245999574661,0.16181430965662003,0.002593544078990817,no_persistence_specific_candidate,0.27635571360588074,0.47683799266815186,0.2971969544887543,0.46335911750793457
static-L29-k1,static,29,1,0.43024659156799316,0.9954921007156372,0.08026787079870701,0.020470465843876202,0.0011289860121905804,no_persistence_specific_candidate,0.001898116315715015,0.016052018851041794,0.012139981612563133,0.008553871884942055
static-L29-k2,static,29,2,0.6280184388160706,0.992486834526062,0.24508521258831023,0.10256066049138705,0.0016333069652318954,no_persistence_specific_candidate,0.05759059265255928,0.1281886100769043,0.08052151650190353,0.1937379390001297
static-L29-k4,static,29,4,0.7464326620101929,0.992486834526062,0.3067626148462296,0.1553846225142479,0.003295267466455698,no_persistence_specific_candidate,0.2595141530036926,0.48729896545410156,0.3000691831111908,0.4527618885040283
static-L30-k1,static,30,1,0.43286585807800293,0.9969947338104248,0.07712001241743564,0.01617314713075757,0.001315465779043734,no_persistence_specific_candidate,0.0010507410624995828,0.010765446349978447,0.01010481733828783,0.009757292456924915
static-L30-k2,static,30,2,0.6076422333717346,0.9947407841682434,0.20804627388715743,0.07111969714363416,0.0019288278417661786,no_persistence_specific_candidate,0.15967309474945068,0.28931963443756104,0.15334972739219666,0.3596304655075073
static-L30-k4,static,30,4,0.7415885329246521,0.9954921007156372,0.2920831322669983,0.12251545737187068,0.0026538725942373276,no_persistence_specific_candidate,0.3240598738193512,0.5598047971725464,0.3168156147003174,0.5454962253570557
