model,sharing,information_set,selected_hyperparameters,task,states,log_loss,brier,auc,calibration_error,calibration_intercept,calibration_slope,deviance_explained,policy_logit_correlation,bootstrap_unit,log_loss_ci_low,log_loss_ci_high
exponential_reward,hierarchical,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",partial_reinforcement,20,0.6428808338197344,0.22170466119078255,0.7500000000000001,0.44290555997647246,0.5909595628167593,0.2042917026884783,0.04477014985998384,-0.6975184280835165,episode,0.49370824359387,0.8498136884325695
exponential_reward,hierarchical,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",solvability,313,0.5454134207489669,0.182663974026339,0.796485260770975,0.13551332078715175,0.571937591582821,0.31816470395720703,0.1748015182172481,-0.7749167824908306,episode,0.5102761116001306,0.5843093197475703
perseveration,task_specific,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",bandit,1800,0.15243874064260954,0.03537664042890474,0.8054663210204028,0.026864896699506428,0.6298144753360394,0.17749359145609947,0.041346823537396826,-0.7449437065851661,episode,0.11440934592438147,0.2206879806462286
perseveration,task_specific,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",foraging,364,0.5503463564266269,0.18515416457502906,0.7541683891415186,0.08961326293659765,0.4911980474554247,0.2664231075062083,0.12640259990035707,-0.8164065827068948,episode,0.5280288810048899,0.5771951552274704
perseveration,task_specific,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",information_sampling,40,0.7947470643612137,0.2938749813749438,0.5353535353535354,,0.5440482587973418,-0.010646574513467703,-0.15492259486469928,-0.5313479373228881,episode,0.7116825210495488,0.9004976220696594
perseveration,task_specific,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",partial_reinforcement,20,0.6691760336922629,0.23807421770265544,0.7083333333333333,0.4868736570157984,0.5423950251570562,1.2633616441850557,0.00569920776268007,-0.6658861141073438,episode,0.6546173237880688,0.6912224704809214
perseveration,task_specific,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",solvability,313,0.5243350848782024,0.1719895970742694,0.8216902145473575,0.1135931718152221,0.576218243363267,0.35460086003359065,0.20669257571116983,-0.7545617844505059,episode,0.49914021322280544,0.5505430087112476
perseveration,fully_shared,observable,"{""history_decay"": 0.95, ""penalty"": 0.01}",bandit,1800,0.1629368974915235,0.03612012835483146,0.7633428357347711,0.04102343025561049,0.37523969928035694,0.13327292550292588,-0.024673739003257644,-0.5911730770517951,episode,0.13300172096257887,0.21354504480676922
perseveration,fully_shared,observable,"{""history_decay"": 0.95, ""penalty"": 0.01}",foraging,364,0.6173506192475764,0.2132076460874075,0.6126154058150751,0.11801795573770339,0.6541910548134064,0.4610828209967111,0.020042761023548628,-0.21699533761359532,episode,0.5962391205888439,0.6394787976151272
perseveration,fully_shared,observable,"{""history_decay"": 0.95, ""penalty"": 0.01}",information_sampling,40,0.7778274981341454,0.2896951663205173,0.5151515151515151,0.24413077470688893,0.5732528161893891,0.03661178081676482,-0.13033516295432546,-0.42567846930311093,episode,0.7100888615988814,0.8755500758587034
perseveration,fully_shared,observable,"{""history_decay"": 0.95, ""penalty"": 0.01}",partial_reinforcement,20,0.7079314883224835,0.2573254275701971,0.45833333333333337,0.503679475536303,0.6149232881673526,-0.2425782046809666,-0.05188590781554314,-0.005097918649119284,episode,0.6970644388412903,0.7235142169412775
perseveration,fully_shared,observable,"{""history_decay"": 0.95, ""penalty"": 0.01}",solvability,313,0.6185972795785205,0.21421624223555263,0.69570905285191,0.11187851763943726,0.627367809526899,0.5145300069082639,0.06407595316932346,-0.5347719001349682,episode,0.5948503409550221,0.6461270945660904
perseveration,hierarchical,observable,"{""history_decay"": 0.5, ""penalty"": 0.01}",bandit,1800,0.16067975565560086,0.03598239714731667,0.5241880614239822,0.015549377481716677,0.08081226226401565,0.014570417954132083,-0.010479078370322359,0.21345629053302156,episode,0.12538752074682086,0.22204112450616875
perseveration,hierarchical,observable,"{""history_decay"": 0.5, ""penalty"": 0.01}",foraging,364,0.554556454618093,0.18569135380602977,0.7691883698498002,0.09496455076873839,0.5539267869030299,0.37836839378189885,0.11971966143573343,-0.8565954576973519,episode,0.5339477411999723,0.5782746760144393
perseveration,hierarchical,observable,"{""history_decay"": 0.5, ""penalty"": 0.01}",information_sampling,40,0.7874673119829506,0.29364191256358413,0.49242424242424243,0.24221122319890023,0.5752076381658956,0.037383406007437496,-0.1443436938738114,-0.4875914388528497,episode,0.7147491490697333,0.8890199542265792
perseveration,hierarchical,observable,"{""history_decay"": 0.5, ""penalty"": 0.01}",partial_reinforcement,20,0.6791597709956726,0.24304709130133775,0.625,0.488637997725159,0.5780122367293791,0.12022329314517935,-0.009135211598540804,-0.06888030485652231,episode,0.6613779751314307,0.6920395090355848
perseveration,hierarchical,observable,"{""history_decay"": 0.5, ""penalty"": 0.01}",solvability,313,0.5889867563131455,0.20069782885819862,0.7519623233908949,0.13021824301331236,0.6261349751491146,0.4370103392358636,0.10887602209653569,-0.6239449211298848,episode,0.5652375537942813,0.6179756020718993
dual_history,task_specific,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",bandit,1800,0.1489460466704709,0.03509081828931575,0.8044672770021789,0.026143748048590182,0.46992144082658466,0.12794963600409928,0.06331159546274678,-0.7282660463819912,episode,0.1113979810769752,0.21435423740498363
dual_history,task_specific,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",foraging,364,0.54682400045941,0.1834889543008189,0.758130081300813,0.09448063653801854,0.49073424977971086,0.26652533221588726,0.13199384435805772,-0.8196994615582683,episode,0.5213444164709339,0.5756693857291936
dual_history,task_specific,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",information_sampling,40,0.7950154018271777,0.2940734419235434,0.5252525252525253,,0.5452392875472329,-0.008480321464500793,-0.15531254157402063,-0.5323895911298093,episode,0.7134278721057291,0.8988679995414819
dual_history,task_specific,observable,"{""history_decay"": 0.0, ""penalty"": 0.01}",partial_reinforcement,20,0.677360927073727,0.22082996226283216,0.75,0.4071185301052796,0.6099223262200756,0.12193094358013992,-0.006462384350330863,-0.7183601706810986,episode,0.4087817089154805,1.091346902917552
